init,member,verifying,patterns,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
20260605,ens1,202606,JJA,-1.71531,-3.58699,-1.65672,2.19220,0.02537,0.18110,0.82148,-2.60016,1.97338,-1.30945
20260605,ens1,202607,JJA,-1.95279,-2.08701,-2.54754,3.71331,0.60305,-0.69094,-0.10597,-1.86174,2.14880,-0.72489
20260605,ens1,202608,JJA,-2.39401,-1.85845,-1.40408,2.21638,0.32512,0.77567,2.95397,-0.34480,1.63061,0.08719
20260605,ens1,202609,SON,-0.84263,0.79922,-1.01799,-1.91319,-0.20969,1.25149,0.77551,-0.78025,-1.21329,0.18358
20260605,ens1,202610,SON,-0.63316,0.62584,-0.83518,0.14097,-0.70920,0.27416,2.06513,-0.24382,-1.91733,-1.11841
20260605,ens1,202611,SON,-0.65221,1.75163,0.23911,-0.48024,0.52959,-0.46283,0.43759,-3.03488,-0.82666,-1.17163
20260605,ens1,202612,DJF,1.23303,1.57050,-0.41250,-0.05552,0.48325,0.95135,0.65050,-0.83995,-1.87983,-0.96897
20260605,ens1,202701,DJF,0.23399,0.43880,0.42298,0.78565,0.47086,-2.62591,0.43390,-0.18604,-1.76518,-1.68435
20260605,ens1,202702,DJF,-1.75803,-0.55442,0.24213,0.23897,0.43726,-2.26614,-0.39413,1.26942,-1.37262,-3.79109
20260605,ens2,202606,JJA,-1.70606,-3.77801,-1.25436,2.18697,0.35424,0.64540,1.15538,-3.80507,2.57239,-1.14290
20260605,ens2,202607,JJA,-1.54578,-3.05819,-1.91991,2.63362,1.84963,1.06639,1.03830,-1.63001,2.22233,-2.16998
20260605,ens2,202608,JJA,-2.16450,-2.08259,-1.89496,1.68716,1.78767,1.75581,0.66790,0.03470,1.91403,1.46891
20260605,ens3,202606,JJA,-1.28329,-3.24072,-2.57862,2.31198,0.94755,0.22519,0.13175,-2.01686,1.90172,-2.35037
20260605,ens3,202607,JJA,-2.42061,-2.22765,-1.54057,1.72197,0.93668,1.21273,0.52757,0.11616,1.59328,-0.60958
20260605,ens3,202608,JJA,-1.53714,-1.89026,-1.69831,1.47701,0.17046,-0.02025,1.68009,-0.05694,0.85329,-0.17381
20260605,ens4,202606,JJA,-1.47361,-3.12166,-1.93204,2.13220,0.92323,0.02545,1.41296,-1.58029,2.53298,-2.31196
20260605,ens4,202607,JJA,-0.27651,-2.06930,-0.36034,1.67151,1.23061,1.95089,0.58224,-1.12631,1.07890,-1.06541
20260605,ens4,202608,JJA,-1.00394,-2.56720,-1.79509,1.66664,1.38746,0.71382,1.46911,-1.02520,1.35719,-2.30669
20260605,ens5,202606,JJA,-2.03053,-3.26216,-1.08198,1.35118,1.25186,-0.85837,-0.04221,-1.65661,2.23879,-2.47188
20260605,ens5,202607,JJA,-1.45327,-2.25488,-1.21032,2.27428,0.47995,0.56714,1.19758,-0.69165,1.40080,-0.33502
20260605,ens5,202608,JJA,-1.68406,-1.87314,-1.98971,2.44093,1.61955,1.06679,0.00707,0.54748,1.16833,-0.61457
20260605,ens5,202609,SON,-0.49122,1.06076,0.34125,-0.54495,-1.16434,0.96058,0.36824,-0.91968,-1.16495,-0.12469
20260605,ens5,202610,SON,-0.00546,0.45882,-1.32267,-1.71602,0.92116,1.72877,0.16382,-1.27593,-2.29153,-0.43134
20260605,ens5,202611,SON,-1.01636,-1.20910,-1.80910,0.10039,0.12520,0.38533,1.65298,-1.61194,-1.15813,-2.24819
20260605,ens5,202612,DJF,0.50204,-0.08942,0.62078,1.12215,1.91546,0.29481,-1.36955,0.30199,-1.17169,-0.97128
20260605,ens5,202701,DJF,-2.88207,-1.16683,-0.10555,0.75483,-0.36168,-1.06669,0.85689,1.94530,0.46194,-2.17435
20260605,ens5,202702,DJF,-1.69659,-2.16020,-0.09797,-0.94788,-1.43417,-1.15688,-0.27796,1.67176,0.94793,-1.40974
20260610,ens1,202606,JJA,-1.05747,-3.82380,-1.73610,2.24152,1.00976,0.69732,-0.69250,-1.76258,3.50249,-0.94665
20260610,ens1,202607,JJA,-0.32895,-2.11716,-1.27054,1.38295,1.17348,1.14694,1.16724,-0.70695,0.82616,-1.08719
20260610,ens1,202608,JJA,-1.09261,-3.14757,-1.30917,2.18494,1.53461,1.25141,-0.59230,-1.02137,1.99254,-2.87426
20260610,ens2,202606,JJA,-0.89959,-3.61955,-2.07916,2.56212,1.10364,0.78841,0.16586,-1.10925,2.56007,0.60334
20260610,ens2,202607,JJA,-0.86221,-2.30086,-0.60620,2.14469,0.82536,0.03362,0.80399,-2.46012,1.84266,-1.97507
20260610,ens2,202608,JJA,-2.45411,-2.54486,-1.46244,2.82322,0.55598,-0.89067,1.72990,-2.20025,2.55343,-1.66360
20260610,ens3,202606,JJA,-2.52397,-2.39265,-3.51737,2.84655,1.46020,-0.13054,1.56587,-1.16506,2.52269,-0.13282
20260610,ens3,202607,JJA,-1.70168,-1.40601,-2.13701,2.38723,1.24271,1.20624,0.96520,-1.61822,1.00167,-0.59449
20260610,ens3,202608,JJA,-1.51445,-1.08111,-1.44345,1.36701,1.77691,2.05270,0.41516,-0.72061,1.17724,-0.29928
20260610,ens3,202609,SON,-2.06677,0.28279,-1.15114,-0.63742,0.94123,1.59005,0.68082,-1.61156,0.06407,-0.79888
20260610,ens3,202610,SON,-3.21408,0.00446,-0.62588,0.21498,0.51154,2.00746,1.09839,-1.50524,-1.09807,-2.62900
20260610,ens3,202611,SON,-3.12523,-0.31606,-1.99647,-0.29969,1.13168,1.92797,0.82574,-2.32360,0.00932,-2.40177
20260610,ens3,202612,DJF,0.30747,0.58401,-0.82838,0.22207,-0.57226,-0.28003,-0.42747,-0.26211,-1.86443,-2.55423
20260610,ens3,202701,DJF,-0.33332,-0.51597,-1.09170,-1.37005,-0.78490,0.43681,-0.54394,-0.13797,-1.66193,-1.44714
