init,member,verifying,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
1991-jun15,ens1,199107,0.62340,2.28774,0.21284,-0.04187,0.47179,-0.16459,1.71588,-0.89117,-0.29201,0.39144
1991-jun20,ens1,199107,1.24809,0.32705,0.43547,-0.14991,1.17628,-1.75193,-0.54775,0.44522,0.20385,0.40892
1991-jun25,ens1,199107,0.40165,0.51327,-1.21361,-0.92977,0.26653,-0.57758,-0.97034,1.17507,-0.69952,0.48623
1991-jun30,ens1,199107,0.39798,0.12520,0.24142,-2.18021,1.73957,0.10371,-0.32553,1.72750,-1.39910,0.81785
1991-jul15,ens1,199108,1.34207,0.66151,-0.12157,-2.41278,-1.41336,-0.80133,0.12538,0.61601,-1.22881,1.87935
1991-jul20,ens1,199108,0.18490,0.36380,0.46004,-1.48270,-1.65017,-1.81483,-0.37770,-1.42545,-0.68995,-0.50860
1991-jul25,ens1,199108,0.33830,0.20291,-0.22014,-0.75614,-1.55447,-0.63859,-1.53796,-1.88927,-1.23181,-0.83957
1991-jul30,ens1,199108,0.38247,0.63302,1.99739,-1.08481,-0.21140,-1.37666,-0.04090,0.01788,0.23614,-1.95958
1991-aug14,ens1,199109,0.47419,0.76817,-1.47697,-2.79411,-1.17449,1.46168,0.50749,-0.82273,-3.78352,1.26620
1991-aug19,ens1,199109,0.22755,0.76792,-0.47432,-1.64493,-1.14583,-0.19279,0.06579,0.08376,-1.37885,-0.17761
1991-aug24,ens1,199109,0.98267,1.05501,0.39923,-0.41484,-0.47728,-2.20767,0.65976,-0.94489,-0.50150,-0.46939
1991-aug29,ens1,199109,1.13518,0.77988,-0.53293,-1.22336,-0.48419,0.77527,0.42712,-1.55347,-1.23233,0.20002
1992-jun15,ens1,199207,0.76121,1.34262,0.33520,-2.88217,-1.13135,-1.10414,0.13195,-0.13527,-0.91848,0.47503
1992-jun20,ens1,199207,1.36537,2.35868,0.63198,-1.12544,-1.75132,-0.18201,0.50547,0.32882,-0.90523,2.30312
1992-jun25,ens1,199207,1.90095,1.57599,0.65004,-1.15473,-1.38247,0.37141,0.50880,0.33659,-0.95277,1.18038
1992-jun30,ens1,199207,1.95158,1.85615,1.25012,-1.51045,-0.96614,0.90990,-0.99927,1.37384,0.19307,0.70205
1992-jul15,ens1,199208,0.90019,1.97171,1.45975,-1.23407,-0.86945,-1.01245,1.40882,-0.22130,0.53498,1.01095
1992-jul20,ens1,199208,1.56627,0.53821,0.02367,-1.63573,-1.84434,-1.54784,1.88578,0.59920,-1.22324,-0.62050
1992-jul25,ens1,199208,1.66676,0.51792,0.23694,-2.24489,-1.60576,-1.13229,1.13430,1.15722,-0.01440,-0.34685
1992-jul30,ens1,199208,1.75961,0.12058,-0.29389,-2.03106,-2.39583,-1.64506,-1.71600,0.24005,-0.86888,0.36440
1992-aug14,ens1,199209,0.34466,1.76168,0.33686,-2.96567,-2.17980,0.50749,-0.93014,-0.24935,-0.63531,1.88628
1992-aug19,ens1,199209,1.01281,2.99746,-1.01818,-0.79965,-2.72008,1.99403,-4.27322,0.22637,1.09903,3.34514
1992-aug24,ens1,199209,0.86896,0.92991,-0.22962,-0.72979,-3.01763,-0.76245,-1.14692,-0.58623,-0.98498,-1.15088
1992-aug29,ens1,199209,1.38240,0.64792,-0.37468,-2.07805,-1.39709,-0.62497,-1.38440,-1.43892,-1.65671,-0.49569
1993-jun15,ens1,199307,0.35461,1.90093,-0.35097,-1.06839,-1.87530,0.02949,-1.17154,0.21284,-1.01196,0.59063
1993-jun20,ens1,199307,0.85603,0.80918,0.31004,-0.82377,-1.50978,0.67073,-2.15270,0.09485,-1.28548,0.07617
1993-jun25,ens1,199307,0.92158,0.96395,0.08192,-1.89563,-1.00875,-0.90103,0.78531,-0.62938,-0.90335,0.24330
1993-jun30,ens1,199307,1.63814,0.95960,-0.02076,-1.15256,-0.41756,-1.08628,-0.86264,-0.09836,0.19208,0.09857
1993-jul15,ens1,199308,1.29013,1.40287,0.94582,-1.57197,-1.12846,0.45102,-1.81977,-0.84661,-1.46741,0.46010
1993-jul20,ens1,199308,1.54527,0.32069,-0.98810,-1.87723,-0.48136,-0.37828,-2.62544,-0.13841,-0.19199,0.59736
1993-jul25,ens1,199308,-0.50470,2.10631,-0.05183,-1.57717,-1.28602,-0.64698,-1.01146,-1.96759,-1.00401,0.92890
1993-jul30,ens1,199308,1.11377,1.03390,0.31370,-0.19625,-1.49700,-0.91456,-0.73484,-2.16618,-0.50674,0.24241
1993-aug14,ens1,199309,-0.43861,1.34821,0.48989,-2.32367,0.84711,-1.34199,-0.65908,0.42879,-1.25888,-0.87764
1993-aug19,ens1,199309,0.70404,0.65071,0.64137,-1.86834,-3.09783,-1.53471,-1.10185,-1.09696,0.73247,-0.36155
1993-aug24,ens1,199309,-0.09845,1.18677,1.09188,-2.14518,-2.06545,-0.40565,-1.54157,0.11772,0.97199,0.47504
1993-aug29,ens1,199309,0.28412,1.77991,1.10461,-0.50343,-1.24106,0.00658,-2.35746,0.97709,0.12040,0.37402
1994-jun15,ens1,199407,0.88136,0.16288,0.44831,-0.27892,-2.72003,-0.10134,-0.72570,0.93886,-0.03952,0.57151
1994-jun20,ens1,199407,0.93977,1.04651,0.14315,-0.06387,-2.01765,-0.68307,-1.45041,0.60670,0.34296,0.63558
1994-jun25,ens1,199407,-0.41306,1.09480,1.67215,0.19394,-0.54327,-0.99549,-0.66179,-0.53881,0.12308,-0.78752
1994-jun30,ens1,199407,-0.38478,1.24251,0.08339,0.25966,0.06352,0.19413,-0.76178,0.20012,-0.44123,0.41501
1994-jul15,ens1,199408,0.06630,0.81589,0.71011,-1.50854,-1.95512,0.40022,1.58361,-0.74005,0.59723,0.84685
1994-jul20,ens1,199408,1.25712,1.53059,0.51732,-0.61746,-1.73596,0.91608,-0.71136,-0.96335,0.12614,0.91908
1994-jul25,ens1,199408,0.17629,1.59049,0.61146,0.40015,-0.38733,0.32422,-0.49962,-0.46702,-0.29797,0.97530
1994-jul30,ens1,199408,-0.94633,1.70728,0.02015,-0.54329,-2.02063,-0.23374,-0.10069,-2.17622,-0.76311,2.60341
1994-aug14,ens1,199409,0.50801,0.24146,0.51902,-2.29098,-0.01319,-0.96571,1.24707,-0.57915,1.34676,-0.02280
1994-aug19,ens1,199409,1.64959,0.14662,0.12569,0.72627,-0.73573,-1.20743,0.16215,0.37403,-0.53225,-0.45260
1994-aug24,ens1,199409,-0.56509,0.96682,0.87882,0.66602,-0.94709,-0.04080,-1.48625,-0.70829,0.51064,1.03885
1994-aug29,ens1,199409,0.30504,0.20605,0.88369,-0.80803,-2.10104,-2.18623,-1.13538,-1.54155,0.22584,-0.33352
1995-jun15,ens1,199507,-0.05510,0.10876,0.63193,-1.04210,-0.12258,0.07771,0.57733,0.02471,-0.07995,0.83209
1995-jun20,ens1,199507,-0.12319,0.32732,0.23885,-2.27165,0.57117,-0.97536,1.22798,0.53245,-1.77748,-0.07077
1995-jun25,ens1,199507,1.74987,0.21246,-1.04303,-2.55356,-0.85611,-0.51077,0.03162,-1.18397,-0.11743,-0.09997
1995-jun30,ens1,199507,1.26861,0.55073,0.23978,-0.76395,-0.60973,0.66420,-0.61158,-0.33795,-0.03839,0.60168
1995-jul15,ens1,199508,0.32662,0.79352,1.43392,0.10463,-0.95755,0.07755,1.98888,-0.47651,0.10933,0.50579
1995-jul20,ens1,199508,0.79263,-0.17654,0.79969,-0.87354,-0.90867,-0.18024,1.28056,-0.30801,0.25303,0.40839
1995-jul25,ens1,199508,-0.36621,1.22334,1.39122,-0.41393,-0.76113,0.29693,1.93508,0.49650,0.02774,0.87369
1995-jul30,ens1,199508,-0.69948,0.38149,1.60906,-0.24580,1.00570,-0.79446,1.37955,-0.05356,-0.95225,-0.30168
1995-aug14,ens1,199509,-0.27069,0.58437,0.70169,-0.15994,0.65864,-0.33162,0.75315,-0.08576,-0.34457,-0.18536
1995-aug19,ens1,199509,-0.36873,1.00533,2.19053,1.10591,-1.14636,0.79362,0.58012,-0.89148,2.88738,1.70427
1995-aug24,ens1,199509,-0.80828,0.55846,0.64032,0.62508,1.39975,-0.33260,-1.45222,-0.42190,-0.65615,-0.51918
1995-aug29,ens1,199509,0.48542,0.89258,-0.50603,-0.26554,0.69070,1.60047,-0.87291,-1.21043,-0.07580,1.25133
1996-jun15,ens1,199607,1.01190,0.91717,-1.41683,-1.25510,-0.93241,0.42986,-1.25377,-0.12951,-1.39086,-0.35203
1996-jun20,ens1,199607,-0.48359,0.20351,1.02374,-0.56832,-0.10786,-0.70975,-0.30812,0.30828,-0.12244,0.01897
1996-jun25,ens1,199607,1.56374,0.28185,1.04287,-1.08324,-1.08846,-0.20576,0.32236,-0.21487,0.02597,-0.05735
1996-jun30,ens1,199607,1.00825,-0.19333,-1.00880,-0.98689,-0.99901,-0.31093,-0.57749,0.38888,-0.46386,-0.17455
1996-jul15,ens1,199608,0.61841,0.43017,0.33675,-1.09449,-0.78629,-2.90835,0.08496,-0.22522,-0.01741,-0.56546
1996-jul20,ens1,199608,1.34854,1.26405,0.66122,-0.33662,-0.84000,-0.81476,0.34894,-1.16455,0.20604,-0.56842
1996-jul25,ens1,199608,-0.04745,0.47369,0.44403,-0.78601,-0.64153,-1.61359,-1.13133,-0.76871,0.97899,0.08580
1996-jul30,ens1,199608,1.51664,1.01257,1.04811,0.17709,-0.52238,-0.93605,-0.16063,-0.28914,-0.73936,-1.59479
1996-aug14,ens1,199609,0.67327,0.91268,0.02270,-1.23844,-0.69813,-0.85682,-1.43334,0.09076,1.04358,1.28667
1996-aug19,ens1,199609,-0.28003,2.32289,0.66883,0.05803,0.80499,-0.87077,-0.02880,-0.89661,-0.70015,0.88570
1996-aug24,ens1,199609,-0.09721,2.79442,-1.23180,-1.43144,0.60969,1.03127,0.10731,-0.94087,-3.37703,1.54411
1996-aug29,ens1,199609,-1.11285,1.54878,0.62103,-2.36269,-1.72611,0.80691,0.21206,-1.63190,0.99812,1.55111
1997-jun15,ens1,199707,0.81758,0.50728,-0.13646,-0.77268,1.11672,-0.70865,-1.58393,-0.68010,-0.70145,0.49746
1997-jun20,ens1,199707,1.16895,1.38490,-0.21010,-0.36442,-0.11751,0.52059,0.15500,-0.32395,0.01456,0.54872
1997-jun25,ens1,199707,0.89983,1.84178,-0.36640,-1.12204,0.53255,0.53504,0.65938,-0.41233,-0.09479,0.62189
1997-jun30,ens1,199707,0.54204,1.01527,0.36308,-0.80489,-0.47557,2.14653,1.08366,-0.90396,-1.09027,0.99657
1997-jul15,ens1,199708,0.92289,0.03112,-1.70317,-1.88313,-1.09624,0.33135,-1.39067,-0.58037,-1.73167,0.73393
1997-jul20,ens1,199708,0.15019,-0.28642,0.78046,-1.53169,-1.06478,-0.86141,1.55946,0.83342,0.48141,0.11566
1997-jul25,ens1,199708,-0.62844,0.55130,1.34070,-0.65071,0.47915,-0.83890,-0.15212,-0.38417,0.41375,-0.14225
1997-jul30,ens1,199708,-0.32481,0.81107,-0.58592,-0.05031,-1.86575,-0.52854,0.25584,-0.78028,-0.14102,0.41459
1997-aug14,ens1,199709,1.08455,0.16352,-0.97491,-0.84295,0.12856,-1.02953,-1.53180,-0.76995,-3.28238,0.84709
1997-aug19,ens1,199709,0.85110,0.99879,0.21501,-1.36026,0.19116,1.00748,1.02176,0.48337,-1.50972,0.55484
1997-aug24,ens1,199709,0.13068,0.11278,-2.84284,-1.77762,-1.72401,-0.72357,-2.58126,-0.80911,-2.76133,1.02910
1997-aug29,ens1,199709,-0.21305,0.42716,-1.44908,-1.57493,0.17689,-0.46545,-3.64183,0.69524,-2.42046,-1.67330
1998-jun15,ens1,199807,-0.37296,-0.66543,0.92967,-0.02509,0.49810,1.06005,-0.75710,-0.52674,0.06813,-0.04740
1998-jun20,ens1,199807,0.70444,0.06668,0.05296,1.33700,0.15824,-0.02576,-1.37525,-0.37819,1.55868,-0.60853
1998-jun25,ens1,199807,0.06934,-1.37749,0.73070,1.01512,-0.08318,0.89726,0.43129,-0.65390,-0.06526,-0.65286
1998-jun30,ens1,199807,0.71511,-0.73939,-0.61127,0.60041,-0.47363,0.84332,-0.19776,0.14937,-0.04274,-0.58895
1998-jul15,ens1,199808,0.18218,-0.12436,0.34746,0.53509,1.78106,-1.01064,-1.97149,0.48124,0.51641,-1.27459
1998-jul20,ens1,199808,0.53048,-0.02815,-1.60764,0.74640,0.33726,-0.68810,-1.04468,0.44610,0.72694,0.32847
1998-jul25,ens1,199808,0.47078,0.64452,-0.47857,1.02571,0.37873,-0.36665,-0.37327,-0.10312,0.29228,-1.16567
1998-jul30,ens1,199808,-0.32206,-0.03316,-0.22472,0.10518,0.54148,1.63536,0.37825,-0.36797,0.03344,-0.87921
1998-aug14,ens1,199809,-0.14777,-0.36111,-0.04185,-0.27019,-0.94694,1.04374,0.73906,-1.24150,0.74377,-0.48399
1998-aug19,ens1,199809,-0.77730,-0.70752,0.22409,0.36283,-0.34604,-0.16161,-0.52241,-0.67471,0.02841,0.18560
1998-aug24,ens1,199809,0.18292,-0.64160,0.28782,0.10430,-0.37218,1.44250,-0.36105,0.88875,-2.08345,-0.19126
1998-aug29,ens1,199809,-0.58172,1.35709,-1.18011,1.11483,1.75560,1.78942,-2.05255,1.16619,-1.07093,-0.05179
1999-jun15,ens1,199907,1.26823,0.48624,0.33208,-1.47600,-1.31160,-0.16867,2.67225,-0.93872,0.69296,0.72693
1999-jun20,ens1,199907,1.05624,0.08318,-0.55224,-0.44662,-1.12005,0.05059,0.29608,-0.01141,1.12561,0.14462
1999-jun25,ens1,199907,0.70330,0.99068,0.09169,0.82865,-0.17844,-0.75511,-0.12960,0.50907,-0.03948,-0.47678
1999-jun30,ens1,199907,0.05435,0.54977,-0.56872,0.10123,-0.52857,-1.51436,1.50035,1.59580,1.19164,-0.60455
1999-jul15,ens1,199908,0.31288,0.60588,0.23659,-0.64576,0.01300,-0.44507,-1.49047,-0.46834,-0.10150,0.12527
1999-jul20,ens1,199908,-0.04089,0.07703,0.70888,-0.24134,-0.71807,1.35675,1.41125,0.20874,-0.48713,0.64271
1999-jul25,ens1,199908,-0.06748,1.85685,-0.21006,0.91619,-0.39296,0.95570,0.71903,0.49788,-0.64035,0.87465
1999-jul30,ens1,199908,-0.15470,0.60687,0.46230,0.23551,0.37615,-0.89079,0.68331,1.27233,0.42824,1.23099
1999-aug14,ens1,199909,0.65761,1.23807,0.15345,0.18777,0.30489,-0.01642,0.57850,-1.17952,0.13275,-0.25447
1999-aug19,ens1,199909,2.08903,0.41099,-0.67308,0.21944,1.70116,-0.13031,-1.67038,2.21265,0.63384,-0.54221
1999-aug24,ens1,199909,1.06868,0.50133,0.83075,-0.21652,-0.06995,0.39815,0.20480,0.22164,-1.10835,-2.17339
1999-aug29,ens1,199909,0.63841,1.32931,-0.30443,0.62308,0.52190,0.16659,-1.19370,-1.02035,-1.29399,-0.31315
2000-jun15,ens1,200007,-0.54823,0.48352,1.79787,0.27383,1.41362,-2.04250,1.02333,1.10456,-0.00261,0.01920
2000-jun20,ens1,200007,-0.60076,1.16539,-0.65332,0.52363,0.20924,-0.35062,0.06777,1.17338,1.18357,0.94939
2000-jun25,ens1,200007,1.11742,-0.12761,-0.09654,-0.77992,0.79428,-1.59321,-0.14990,0.08303,-0.29744,-0.40224
2000-jun30,ens1,200007,1.30391,0.76547,0.30578,0.33041,0.67600,-3.19899,-1.87098,0.29427,0.36538,-1.19730
2000-jul15,ens1,200008,-0.22823,0.72363,0.40809,-0.67650,-0.40125,-2.50539,0.43715,-1.55738,-0.48550,-0.45320
2000-jul20,ens1,200008,0.25497,0.82371,-0.20406,0.20370,-1.44535,-0.79004,-0.32434,0.27353,-0.06540,1.69642
2000-jul25,ens1,200008,1.54959,1.48369,0.52894,0.44722,1.28271,-0.59649,0.30506,0.35726,0.23332,-0.26149
2000-jul30,ens1,200008,1.60855,0.70663,-0.23031,0.50766,-0.69607,-1.42723,0.47406,-0.52633,0.92897,-1.25047
2000-aug14,ens1,200009,0.90459,1.27071,1.05138,0.67364,0.60512,-1.31729,0.13269,0.07532,1.50697,-0.47641
