init,member,verifying,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
1994-dec17,ens1,199501,0.29746,-0.98733,-0.64473,-0.67532,-0.74522,-0.56585,0.58533,1.78935,0.55570,0.87037
1994-dec22,ens1,199501,1.38692,0.08715,-0.36097,1.47954,-0.53663,0.29768,-0.09404,-0.63448,-0.41423,1.53002
1994-dec27,ens1,199501,0.47489,-1.28812,-0.05219,-0.17647,1.53523,0.70704,1.19747,0.45673,-0.68441,1.62438
1994-jan16,ens1,199402,1.27763,2.35905,0.28229,1.02377,-0.51437,0.16457,1.80696,-1.88855,-0.92184,-0.41135
1994-jan21,ens1,199402,-0.53962,0.10271,-0.00344,0.01191,1.19402,-1.30570,2.07005,1.97939,0.74030,0.35034
1994-jan26,ens1,199402,1.40769,1.93769,0.24385,1.05692,-2.34899,-1.88510,0.37609,-0.58114,-1.43015,2.77395
1994-jan31,ens1,199402,1.24028,0.40061,2.11387,1.03827,0.82048,-1.21293,0.43194,-0.90817,-0.86849,1.63804
1994-feb10,ens1,199403,1.58786,0.99451,-0.56867,0.65035,-1.38390,0.25824,0.05107,-0.23244,0.00080,1.60415
1994-feb15,ens1,199403,1.03621,0.23887,0.90527,0.52623,-0.96391,-0.10431,0.04414,-0.37932,0.69293,1.56194
1994-feb20,ens1,199403,1.18390,-0.09152,-0.79613,-0.21586,0.64172,-0.72779,-0.06834,-0.43251,0.03284,1.21907
1994-feb25,ens1,199403,2.03777,-1.52010,-0.40159,0.52843,0.71574,-0.04519,-0.35311,-0.03472,1.48532,0.94950
1995-dec02,ens1,199601,1.10521,1.32079,-0.85041,1.16053,1.14908,-0.08956,0.70924,-0.70739,0.97551,0.37046
1995-dec07,ens1,199601,0.21986,0.18089,1.55869,1.61106,-0.04446,-0.24044,-1.05740,0.17682,-0.09898,0.52955
1995-dec12,ens1,199601,-0.01455,-0.54905,0.18840,1.39001,1.64214,0.73852,-0.16741,0.43356,1.50297,-0.36328
1995-dec17,ens1,199601,1.34606,-0.23483,0.26978,0.26579,0.07677,0.44146,-1.19384,-1.22675,1.38481,1.40932
1995-dec22,ens1,199601,2.29312,-0.36735,1.15060,0.70268,0.75979,-0.18541,-0.79912,-0.71524,-0.40999,2.30772
1995-dec27,ens1,199601,0.00858,-0.06327,0.90127,0.70917,0.97055,1.97296,-1.27698,-0.52021,1.08838,1.45421
1995-jan16,ens1,199502,-0.76864,-1.96514,0.53796,-1.05206,1.32128,-0.38359,0.75778,0.62026,-0.17776,0.16498
1995-jan21,ens1,199502,-0.09262,-1.26462,0.62469,0.24518,0.31469,1.06487,1.10980,0.34537,0.49043,0.34856
1995-jan26,ens1,199502,0.88565,-1.98800,0.19648,1.25625,0.38871,1.03696,1.18077,1.79788,-0.11964,2.00515
1995-jan31,ens1,199502,1.11012,-1.40360,0.21546,1.03352,0.47092,0.14158,1.22725,-0.87064,-0.28781,0.53740
1995-feb10,ens1,199503,0.45308,-0.76920,0.57287,0.57341,1.44789,-0.83765,1.78033,-0.12157,1.71464,-2.18793
1995-feb15,ens1,199503,-1.05071,-1.49819,0.73892,-0.34193,0.05253,0.71280,-1.55665,0.46375,0.11369,1.65369
1995-feb20,ens1,199503,1.18758,-1.29931,0.16073,-1.43464,0.45233,-1.08740,0.58025,0.67672,0.03678,1.25487
1995-feb25,ens1,199503,0.37711,0.06313,-0.11221,0.09241,0.31557,0.26762,-0.08634,1.35726,2.36502,-0.59941
1996-dec02,ens1,199701,-0.05313,-0.77603,0.70129,-0.58875,0.88640,-1.98798,1.06114,0.75339,-1.15225,1.71820
1996-dec07,ens1,199701,-0.61655,-0.47975,0.30275,-0.18508,0.36929,0.41562,1.04974,0.73801,1.80339,-0.04946
1996-dec12,ens1,199701,0.98373,0.76548,0.71941,-0.03912,-2.32221,-0.07766,0.73849,0.70700,-0.22612,1.29121
1996-dec17,ens1,199701,-1.37558,0.74709,1.09324,1.20501,-0.98723,0.37246,-1.27236,0.06316,1.42867,1.52244
1996-dec22,ens1,199701,1.02960,0.56059,1.36284,0.30319,-2.80905,-0.25625,0.46181,1.24677,0.53061,1.07059
1996-dec27,ens1,199701,-0.31886,-0.65132,0.58115,0.83601,0.48762,-0.58668,-0.80421,-0.60577,0.07106,1.25033
1996-jan16,ens1,199602,-1.32467,-1.41576,0.41132,-0.40371,0.02642,0.20321,-1.70330,-0.63435,0.83503,0.71715
1996-jan21,ens1,199602,1.10705,-0.20409,-0.28525,-0.21020,0.42838,0.43439,0.42751,-0.63728,1.58148,0.21986
1996-jan26,ens1,199602,-2.08843,1.29020,0.27411,1.01155,-0.01725,0.43529,-0.31018,0.78135,1.73579,-0.98287
1996-jan31,ens1,199602,0.54937,-0.97768,-0.17476,-0.67930,0.88516,0.82238,0.30147,-0.37009,0.47939,1.98370
1996-feb10,ens1,199603,0.87506,1.26917,0.47871,-0.33823,-1.12743,0.43900,0.95139,-0.33119,0.05469,1.67120
1996-feb15,ens1,199603,1.09333,0.17241,0.97548,-0.31623,-0.11330,-0.92558,1.39276,-1.14383,0.92522,1.52762
1996-feb20,ens1,199603,-0.15175,0.58700,0.88287,0.52209,-0.00827,-0.82007,1.68693,0.12564,0.22593,1.77847
1996-feb25,ens1,199603,-0.56612,1.07949,0.98358,0.32963,-0.22359,1.86865,2.78568,-0.18630,-0.61158,2.08153
1997-dec02,ens1,199801,0.72805,-1.38375,0.06055,-1.08811,-0.90863,-0.95765,-0.13448,0.67259,0.54082,-1.29147
1997-dec07,ens1,199801,-1.85656,-1.22953,-1.20930,1.11532,-0.29702,0.52910,0.31638,-0.87112,-0.79564,-0.48396
1997-dec12,ens1,199801,0.31216,-1.18225,-0.86608,-0.27779,-1.69032,-0.63452,-1.83850,-0.34604,0.01571,0.83964
1997-dec17,ens1,199801,0.34841,-1.57945,-0.78276,-0.73078,-1.10765,-0.96875,0.48334,-0.64233,-0.94707,0.62015
1997-dec22,ens1,199801,-1.67087,-0.51334,-1.52556,-0.33996,-0.01072,0.48318,1.10558,1.47588,0.24618,0.58783
1997-dec27,ens1,199801,-0.54182,-1.57647,-1.01127,1.08196,-1.80630,-0.45642,-0.08309,0.76737,-0.04370,-0.31332
1997-jan16,ens1,199702,2.04883,-0.01552,1.45315,-0.46501,-1.91305,-0.11295,-1.72212,0.27747,0.51790,0.92069
1997-jan21,ens1,199702,0.15035,-0.03800,2.35362,-0.19197,-2.05221,-0.32199,-0.20328,-2.53688,-1.31507,0.35104
1997-jan26,ens1,199702,1.69320,0.29398,0.60337,1.01732,-1.23954,0.46146,-0.10850,0.53974,0.53483,0.52719
1997-jan31,ens1,199702,0.62910,0.63139,-0.98955,0.92181,0.54063,0.94803,0.09930,0.26030,0.86308,-0.03106
1997-feb10,ens1,199703,1.48428,-0.08954,1.07304,1.22223,1.38250,-0.09041,0.36675,0.97673,-1.59938,0.17233
1997-feb15,ens1,199703,2.20825,-0.67822,-0.63412,0.66415,1.36188,-1.12404,0.33296,2.18366,-0.79694,1.36999
1997-feb20,ens1,199703,1.45067,-0.07735,-1.17568,2.99605,0.40998,0.50412,0.93742,0.95708,0.75033,-1.24451
1997-feb25,ens1,199703,0.89481,0.11001,-1.52525,1.26456,0.59691,1.16623,0.98184,-0.38027,0.03886,-0.71379
1998-dec02,ens1,199901,-0.67050,-0.16386,0.62495,-0.56887,0.91750,0.35403,-3.07395,-0.37086,0.71434,2.03700
1998-dec07,ens1,199901,-0.70269,0.49598,-0.38639,0.07088,0.87240,-0.01267,0.95100,-0.26402,-0.05637,-1.49926
1998-dec12,ens1,199901,-1.13916,1.90730,-0.77375,-0.10494,1.03896,0.53158,-1.15731,-1.74104,0.02878,0.07163
1998-dec17,ens1,199901,-1.74632,1.00919,-0.04181,1.29920,-0.29508,-0.19382,-1.90232,0.10593,-0.07171,0.26247
1998-dec22,ens1,199901,0.64411,0.00592,0.86800,-0.52144,0.67208,-0.22754,-0.78982,0.32984,0.87036,0.07128
1998-dec27,ens1,199901,-0.67765,-0.32682,0.65020,-1.68935,0.85547,0.48521,-1.20865,0.42196,0.87941,1.00272
1998-jan16,ens1,199802,-2.14238,-0.99780,-1.48358,-1.15374,-0.57000,-0.84935,0.24789,0.61543,0.68850,-0.49997
1998-jan21,ens1,199802,-0.13431,-0.36833,-1.43172,0.51327,-0.92831,0.63622,0.55138,-0.70453,-0.71777,-0.33420
1998-jan26,ens1,199802,-0.06677,-1.69454,-1.40058,-0.45241,-0.64826,1.17216,2.11485,0.48231,-0.01827,0.32241
1998-jan31,ens1,199802,-1.39451,-1.30698,-0.98059,-1.26891,-0.53633,1.56342,1.18900,-0.78831,0.71370,1.15003
1998-feb10,ens1,199803,-0.55370,-2.09707,-0.86152,-0.52761,-0.38451,1.48129,0.67531,2.30778,0.77549,0.08651
1998-feb15,ens1,199803,-0.86834,-2.09848,-0.44569,-0.06935,-0.03280,0.35062,-0.78640,1.02580,1.01822,0.58506
1998-feb20,ens1,199803,-1.71858,-0.72348,-1.03992,0.13676,-0.12531,2.25391,0.14584,-2.36602,-1.22762,0.60671
1998-feb25,ens1,199803,-0.93060,-1.12249,-0.48394,-1.54750,1.44569,2.41227,-0.64736,-0.65319,-0.04451,1.86945
1999-dec02,ens1,200001,-0.60574,-0.08035,1.67599,1.02584,0.14410,-0.26050,0.22714,0.06495,0.72990,2.55416
1999-dec07,ens1,200001,-0.47165,-0.32341,0.36754,0.00351,2.69065,0.87855,1.77854,-1.86316,1.97680,0.78530
1999-dec12,ens1,200001,1.00096,1.13418,1.79024,0.32703,-0.41565,0.67990,0.12036,-1.44417,0.32807,1.73341
