init,member,verifying,patterns,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
20260610,ens4,202609,SON,-0.60203,-0.36503,0.49918,-0.92220,-0.50837,-0.40379,-1.00293,-0.48633,-0.36599,-0.87795
20260610,ens4,202610,SON,-1.32005,-1.37770,-0.44987,-1.39247,-0.95889,-0.03078,-2.06242,2.58156,0.68101,-0.28310
20260610,ens4,202611,SON,-1.02808,0.39779,0.60258,-0.40722,0.02484,-0.32070,-0.37120,0.52957,0.79850,-0.11175
20260610,ens4,202612,DJF,-0.00447,-0.07899,0.30837,0.84842,0.56586,-0.60129,-0.03614,-1.12299,-1.39531,0.86554
20260610,ens4,202701,DJF,-1.93495,-1.25160,-1.73466,-1.13624,-0.26703,0.04840,-1.08930,0.83690,-1.08076,0.10141
20260610,ens4,202702,DJF,-2.19355,-1.53766,-1.48282,-0.08934,0.50946,0.10408,0.76804,0.46109,-0.97032,1.08156
20260610,ens5,202606,JJA,-2.45038,1.07301,-1.01374,1.20720,2.39778,1.48070,2.46295,2.08308,1.92831,2.39449
20260610,ens5,202607,JJA,-0.16277,-0.50485,0.88456,-0.14669,1.58392,-0.03722,0.47320,0.36675,0.34045,1.86785
20260610,ens5,202608,JJA,-0.42350,-0.43486,-0.04641,0.60169,2.45894,0.87932,1.15020,-0.31601,0.63879,-1.15254
20260610,ens5,202609,SON,0.21520,0.20120,-0.22898,0.16356,-0.54681,-1.09360,0.02687,0.56702,0.33371,-0.60440
20260610,ens5,202610,SON,-0.21371,0.56286,-0.01098,-0.39592,0.44753,-1.58079,-0.37504,1.01797,0.76339,-0.50430
20260610,ens5,202611,SON,0.33077,0.40967,0.99274,-0.60775,1.17580,0.44197,-1.42820,-1.15791,0.85012,-0.30331
20260610,ens5,202612,DJF,1.09588,-0.60125,-0.12793,-0.60114,-0.58345,0.53284,-0.80851,-0.12161,-0.98159,0.37386
20260610,ens5,202701,DJF,-1.55179,-1.13898,0.19544,0.39500,0.26450,-0.76319,0.34453,-0.62726,-1.84651,0.66338
20260610,ens5,202702,DJF,-0.72896,-0.55673,1.47452,-0.19173,0.43172,0.34568,0.27025,-1.06037,-0.71968,-0.18665
20260615,ens1,202606,JJA,-1.79589,0.14322,-0.66519,0.88375,3.56447,2.07154,1.29293,1.61745,2.44763,1.36403
20260615,ens1,202607,JJA,0.26550,-0.95597,0.03773,0.20290,1.34811,1.22630,0.65505,0.19907,0.77737,-0.71199
20260615,ens1,202608,JJA,-0.70525,0.11433,-0.19454,0.91954,0.05109,0.09153,1.99834,0.75186,0.35078,1.03010
20260615,ens2,202606,JJA,-2.40168,0.29180,-0.31319,1.17947,3.26251,1.50916,1.45351,0.95959,3.16890,1.01166
