init,member,verifying,patterns,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
20260101,ens1,202601,DJF,0.33863,0.96042,1.55480,0.64381,1.34738,0.77205,-0.14207,0.10010,-0.50932,-1.54134
20260101,ens1,202602,DJF,0.70395,0.51850,1.50681,-0.86866,0.60766,-0.63310,-0.49561,0.38828,0.57335,-0.32527
20260101,ens1,202603,MAM,0.59223,0.51934,-0.36746,0.40915,0.14703,-0.86962,-0.03998,0.04553,0.04091,-0.12408
20260101,ens2,202601,DJF,0.73814,0.70052,0.55020,-0.03807,1.03923,1.75024,-0.77979,-0.88792,-1.41502,-0.56983
20260101,ens2,202602,DJF,0.76596,-1.36688,-0.35500,-0.98376,0.50674,1.16167,-0.48602,0.02668,-0.46834,-0.81134
20260101,ens2,202603,MAM,-0.73830,-0.58389,0.70302,0.92479,1.62179,-0.98621,-0.15949,-1.04521,0.44391,-1.85352
20260101,ens2,202604,MAM,0.65593,-0.70840,-0.23790,0.15581,0.68812,1.46969,2.19195,1.28560,-2.93361,-1.61248
20260101,ens2,202605,MAM,1.19552,0.79439,0.46459,-1.70413,-0.05919,-0.01437,1.62276,0.56939,-1.24550,-1.22320
20260101,ens2,202606,JJA,-0.98251,-1.55104,-0.62830,1.18015,-0.67147,0.12252,0.70346,0.09008,1.02802,0.01221
20260101,ens2,202607,JJA,-1.13556,-1.52092,-0.59549,2.32251,1.64992,1.06998,0.64484,-0.32603,2.02602,-1.07501
20260101,ens2,202608,JJA,-2.89105,-2.67051,-1.58107,2.52404,1.14550,-0.51037,1.66648,-1.59536,1.38299,-0.51776
20260101,ens2,202609,SON,-1.33359,1.07551,-1.07691,-1.88337,-0.26681,1.35733,0.67543,-2.22737,-1.33889,-0.39532
20260101,ens3,202601,DJF,0.22619,0.70360,1.09058,0.73361,1.31029,-0.07740,0.62718,-0.10489,-0.53075,-1.29659
20260101,ens3,202602,DJF,0.92647,0.83211,-0.26659,-1.39878,-0.06903,0.28620,-0.69144,-0.83560,-2.12012,-0.91589
20260101,ens3,202603,MAM,1.11266,-0.71893,-0.52720,-0.12729,0.21662,-1.01187,-0.10037,0.07529,-0.44314,0.78580
20260101,ens4,202601,DJF,-0.10170,1.80162,1.02157,-0.11474,0.24833,-0.07349,-0.28252,0.62329,-2.02880,-0.84639
20260101,ens4,202602,DJF,0.81050,-0.00441,0.35789,-0.78775,0.61451,-0.06370,0.54115,0.14065,-0.09432,-0.76214
20260101,ens4,202603,MAM,-0.99760,-1.10771,1.25898,0.42305,2.31860,-0.42475,0.02034,-0.22515,0.43105,-0.20883
20260101,ens5,202601,DJF,0.11918,0.89809,1.87029,0.72725,1.63518,0.19824,-0.75131,-0.31165,-1.11892,-1.41937
20260101,ens5,202602,DJF,-0.46742,0.45197,0.84253,-0.90033,-0.81367,-0.56267,-1.07377,0.80228,-0.16510,0.28131
20260101,ens5,202603,MAM,0.96072,1.47035,-0.11245,-1.02006,0.01452,0.04172,-0.44901,-0.52293,-1.49698,0.55548
20260106,ens1,202601,DJF,0.05046,-0.10703,0.81466,0.61637,0.92953,-0.37635,-0.97877,0.19874,-0.86079,-1.21400
20260106,ens1,202602,DJF,1.28190,1.96440,0.41598,0.97062,0.00728,1.19999,-0.04287,-1.85382,-1.13793,-1.59678
20260106,ens1,202603,MAM,-1.77278,-1.56624,0.88473,1.72087,0.86560,0.91121,-0.60384,-1.37384,-2.20966,-0.11853
20260106,ens2,202601,DJF,-0.30443,1.02333,0.07432,0.58134,1.31358,-0.02408,-1.11327,0.48310,-2.30298,-0.75686
20260106,ens2,202602,DJF,0.83011,1.38021,-0.19103,-0.10531,-0.11788,1.39154,-0.85095,-0.04895,-1.49727,-0.79802
20260106,ens2,202603,MAM,-0.78919,-1.37839,1.88283,-0.08958,0.51696,1.49636,0.65516,-1.32124,-0.98035,-0.51283
20260106,ens3,202601,DJF,-0.15379,1.04278,0.19463,-0.25383,-0.24623,-0.63967,-1.29240,-0.03405,-3.08484,0.28881
20260106,ens3,202602,DJF,-0.08364,0.57803,-0.07718,0.39618,-0.44397,-0.57920,-0.13704,0.35507,-0.33367,-1.49238
20260106,ens3,202603,MAM,-0.58460,-0.50642,-0.75950,0.89500,0.81074,0.14659,-0.42175,0.29218,-0.89197,0.19320
20260106,ens4,202601,DJF,0.06685,0.63532,0.39199,-0.84181,-0.12353,-0.61351,-1.12353,0.02555,-2.83048,0.03622
20260106,ens4,202602,DJF,-1.04629,-0.39229,0.98909,-0.13709,-1.17492,-0.30980,-1.14494,1.30174,-0.38420,-1.61210
20260106,ens4,202603,MAM,2.17662,-0.96853,-2.07735,1.30083,1.16950,-1.16793,-1.40783,0.46387,-0.56723,0.34923
20260106,ens5,202601,DJF,-0.31930,-0.54006,-1.01165,-0.57841,-1.08113,-0.52185,-0.48992,0.38867,-1.38867,-0.24193
20260106,ens5,202602,DJF,-1.19141,-2.31395,-0.41931,0.69448,-0.61023,-0.39041,0.03017,1.16066,0.74176,-1.46341
20260106,ens5,202603,MAM,2.13580,0.74337,-1.77314,0.48866,0.08178,-2.19063,0.00205,0.86781,-1.02589,-0.88287
20260111,ens1,202601,DJF,-0.26799,0.32893,2.01263,0.58960,1.66540,-1.69589,-1.17826,1.21045,-1.13832,-1.54847
20260111,ens1,202602,DJF,0.38667,0.15980,-0.51802,-0.61238,-0.93649,0.23582,-2.12205,-0.15190,-0.59082,-0.16254
20260111,ens1,202603,MAM,-0.75528,-1.27255,2.11971,-0.49676,1.53635,1.10044,-2.21048,-0.28684,-1.35136,0.32751
20260111,ens2,202601,DJF,-1.49645,0.29384,0.24459,-0.55675,0.43965,-2.06926,0.26319,1.09177,-1.84523,-0.14950
20260111,ens2,202602,DJF,0.60143,1.08657,-0.26822,-1.19663,-0.46646,1.17398,-0.45916,-1.19915,-2.46460,0.19087
20260111,ens2,202603,MAM,0.13549,-2.05548,-0.81037,2.08204,0.32690,-0.51265,-0.21783,0.04822,-1.66615,-0.10456
20260111,ens3,202601,DJF,-0.80445,-0.57124,0.34602,0.27516,0.76989,-1.84293,1.14191,0.01742,-1.36798,-1.03919
20260111,ens3,202602,DJF,-0.03903,-1.03407,0.05997,0.74329,0.62718,1.08996,-0.71035,0.29645,-0.25038,-0.86070
20260111,ens3,202603,MAM,-0.91924,-1.15158,-0.36468,1.09935,-1.22020,0.44738,0.46108,-1.75133,-2.51247,0.38859
20260111,ens3,202604,MAM,-1.83089,-0.22098,0.48111,0.67967,0.14736,0.29729,-0.76009,-2.29419,-1.07089,0.24736
20260111,ens3,202605,MAM,-0.17809,0.33610,0.41819,0.09689,1.03065,-0.93766,-0.13875,-0.57213,-1.51803,-0.84899
20260111,ens3,202606,JJA,-1.14432,-1.51496,-3.32319,1.47576,1.03059,1.41227,1.62172,-1.44705,1.75497,-1.06500
20260111,ens3,202607,JJA,-2.35769,-2.93422,-1.91567,3.02818,0.76967,0.86690,1.68627,-3.57003,2.06584,-0.71898
20260111,ens3,202608,JJA,-1.95460,-2.75513,-2.29200,3.41548,1.52924,1.08137,0.11927,-0.65049,2.17144,-2.09002
20260111,ens3,202609,SON,-0.98722,2.02607,0.07697,-1.80460,-1.38383,0.88915,-0.44198,-1.33638,-1.74233,-0.20406
20260111,ens4,202601,DJF,-0.38823,0.02783,1.36834,0.83754,1.28746,-1.71864,0.36479,1.08910,-0.91418,-1.30385
20260111,ens4,202602,DJF,0.36114,0.05220,0.80408,0.17897,0.39813,-0.28524,0.01318,0.47082,0.17892,-1.24150
20260111,ens4,202603,MAM,0.41352,0.28128,0.07657,1.89083,0.79934,-0.67162,-0.52115,0.87113,-2.00828,1.23174
20260111,ens5,202601,DJF,-0.27638,-0.20889,1.26845,1.26004,2.21477,-1.85298,-0.44495,1.01029,-0.14521,-1.12090
20260111,ens5,202602,DJF,0.38613,0.98216,-0.16836,-0.28140,-0.78225,-0.27983,0.59730,-0.83591,-1.33422,-0.38204
20260111,ens5,202603,MAM,-0.60362,0.28469,0.38529,0.67307,0.37171,-1.10089,-1.35999,-0.20750,-0.47417,0.26822
