init,member,verifying,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
1994-aug19,ens1,199409,1.32700,0.38336,0.47767,0.33980,-0.90296,-1.05230,-0.14833,0.54905,-1.03122,0.16648
1994-aug24,ens1,199409,-0.16388,0.64688,0.78776,0.28224,-0.92358,-0.58255,-1.12246,-0.40128,0.06138,1.31648
1994-aug29,ens1,199409,0.29209,0.37303,1.33224,-0.77405,-2.11609,-2.41536,-0.84083,-1.22976,-0.59304,0.55185
1995-jun15,ens1,199507,0.20325,0.45774,0.84358,-1.07375,-0.23157,-0.08205,0.32607,0.15652,-0.38397,0.81390
1995-jun20,ens1,199507,0.24600,1.25388,0.81543,-2.25694,0.16263,-0.96914,0.81470,0.78363,-1.92952,0.19569
1995-jun25,ens1,199507,1.52716,0.65497,0.25667,-2.21588,-0.36255,-0.42741,-0.42709,-0.40935,-0.68644,0.26901
1995-jun30,ens1,199507,1.52906,0.70790,0.95009,-1.10393,-0.26562,0.52896,-1.01870,0.32439,-0.59499,0.84382
1995-jul15,ens1,199508,0.21383,0.79898,1.36867,-0.24391,-1.24850,-0.38039,1.71758,-0.24141,-0.45349,0.68545
1995-jul20,ens1,199508,0.66101,0.14092,1.09874,-0.86025,-0.96909,-0.26968,0.88751,-0.18167,-0.28390,0.54207
1995-jul25,ens1,199508,-0.14420,1.44257,1.33952,-0.80015,-1.08930,-0.28021,1.70463,0.74343,-0.57608,0.96381
1995-jul30,ens1,199508,-0.40506,0.69918,1.25118,-0.61990,0.36039,-0.81990,1.19349,-0.14746,-0.90860,-0.18122
1995-aug14,ens1,199509,-0.13257,0.68713,0.57031,-0.42520,0.38787,-0.36753,0.62943,-0.00140,-0.36237,-0.12310
1995-aug19,ens1,199509,-0.32144,0.39150,1.54960,0.63602,-1.09126,0.20579,0.64158,-0.83158,2.06097,1.49869
1995-aug24,ens1,199509,-0.29802,0.37768,0.31225,0.16310,1.22730,-0.24980,-1.22050,-0.33994,-0.30190,-0.39432
1995-aug29,ens1,199509,0.77778,0.55655,-0.08064,-0.49919,1.08209,1.31663,-1.07569,-0.50754,-0.03719,1.02075
1996-jun15,ens1,199607,1.21263,1.09991,-0.28784,-1.29380,-0.43078,0.20297,-1.32582,0.77167,-1.62935,0.13345
1996-jun20,ens1,199607,-0.07899,0.53159,1.01311,-0.77314,-0.30656,-0.75075,-0.29526,0.31091,-0.40443,0.25726
1996-jun25,ens1,199607,1.67332,0.71002,1.72785,-1.44730,-0.94017,-0.20761,-0.23365,0.30852,-0.79956,0.42053
1996-jun30,ens1,199607,0.91866,0.16563,-0.24077,-0.77600,-0.71035,-0.23642,-0.71319,0.67444,-0.76909,0.14800
1996-jul15,ens1,199608,0.43670,1.01407,0.82104,-1.11773,-1.07543,-2.76895,0.01550,-0.06084,-0.76070,0.23120
1996-jul20,ens1,199608,1.17209,1.23918,1.16571,-0.79442,-0.73752,-0.95061,0.07894,-0.46196,-0.51538,0.05162
1996-jul25,ens1,199608,0.05493,0.59820,0.68654,-0.79745,-0.57630,-1.63018,-0.94845,-0.57305,0.39587,0.51299
1996-jul30,ens1,199608,1.55727,1.15527,1.47448,-0.59776,-0.52982,-0.81826,-0.48131,0.31711,-1.29735,-0.75354
1996-aug14,ens1,199609,1.00708,1.28586,0.75371,-1.44177,-0.43738,-0.97242,-1.60249,0.62564,0.10626,1.66001
1996-aug19,ens1,199609,0.10895,2.28231,0.81387,-0.67398,0.41232,-1.37354,-0.07645,-0.17349,-1.07865,1.29769
1996-aug24,ens1,199609,0.57722,2.95775,-0.12100,-1.88308,0.48117,0.01354,-0.09291,0.51747,-3.37104,1.86894
1996-aug29,ens1,199609,-0.65664,1.47019,1.11094,-2.14393,-1.37436,-0.17600,0.44034,-0.86624,0.26796,1.55058
1997-jun15,ens1,199707,1.22512,0.79978,0.48497,-1.12877,1.15797,-0.51904,-1.88971,-0.13921,-0.87419,0.80495
1997-jun20,ens1,199707,1.21143,1.36561,0.38741,-0.79111,0.11873,0.29225,-0.23247,0.43606,-0.46781,0.74229
1997-jun25,ens1,199707,1.02889,1.93143,0.32652,-1.51587,0.73608,0.28761,0.17520,0.48787,-0.51692,0.70627
1997-jun30,ens1,199707,0.84320,0.94027,0.89296,-1.10153,-0.29810,1.49509,0.66767,-0.08648,-1.27463,0.91547
1997-jul15,ens1,199708,1.14404,0.42568,-0.39286,-1.53099,-0.67953,0.04390,-1.49154,0.18132,-1.91528,1.08890
1997-jul20,ens1,199708,0.09399,0.38218,1.01577,-1.33190,-1.23688,-0.85284,1.26810,0.68915,-0.14862,0.26922
1997-jul25,ens1,199708,-0.24368,0.71587,1.18732,-0.93044,0.29212,-0.82642,-0.14817,-0.31436,0.16239,0.01718
1997-jul30,ens1,199708,-0.60765,0.60146,-0.35522,0.20671,-1.87227,-1.17782,0.67938,-0.49715,-0.48474,0.75650
1997-aug14,ens1,199709,1.45713,0.74801,0.14307,-1.00908,-0.12863,-1.20129,-1.77365,-0.06120,-3.33103,1.55635
1997-aug19,ens1,199709,1.27530,1.50625,0.95766,-1.78602,0.17763,0.74712,0.36649,1.20548,-1.82497,0.69135
1997-aug24,ens1,199709,0.35113,0.49872,-1.38226,-1.09033,-1.45728,-1.30102,-2.12256,-0.05809,-2.79060,1.67991
1997-aug29,ens1,199709,0.64890,0.88998,-0.46556,-1.63761,0.61736,-0.26549,-3.29558,1.32604,-2.13767,-0.99555
1998-jun15,ens1,199807,0.03141,-0.80229,0.68934,-0.11620,0.63746,1.15800,-0.76760,-0.61834,0.34384,-0.30147
1998-jun20,ens1,199807,0.49769,-0.45023,-0.17843,1.06546,0.52469,0.30255,-1.27218,-0.38977,1.48189,-0.57599
1998-jun25,ens1,199807,-0.13963,-1.71312,0.21932,1.12746,-0.09357,1.06459,0.45187,-1.08402,0.38693,-0.91177
1998-jun30,ens1,199807,0.43798,-0.94501,-0.55852,0.74497,-0.17614,1.00857,-0.21810,0.06028,0.16845,-0.67891
1998-jul15,ens1,199808,0.46877,-0.08380,0.12122,0.10600,1.84795,-0.24498,-1.98493,0.31887,0.71297,-1.13985
1998-jul20,ens1,199808,0.15334,-0.16993,-1.49738,0.92022,0.50366,-0.42586,-0.92098,0.34075,0.76733,0.30056
1998-jul25,ens1,199808,0.17796,0.27957,-0.58699,0.78240,0.50951,-0.16514,-0.26306,0.01781,0.39694,-0.99163
1998-jul30,ens1,199808,-0.34401,-0.45327,-0.45256,0.19052,0.85427,1.66799,0.43470,-0.33400,0.57256,-1.28500
1998-aug14,ens1,199809,-0.48180,-0.80567,-0.14560,0.14790,-0.59551,0.86340,0.91385,-1.23767,0.88084,-0.73660
1998-aug19,ens1,199809,-0.77177,-0.89725,-0.09637,0.63102,-0.43893,-0.26443,-0.16050,-0.98227,0.25160,0.11322
1998-aug24,ens1,199809,0.65958,-0.39293,0.49214,-0.10516,-0.38553,1.32826,-0.51995,0.97006,-1.81662,-0.11857
1998-aug29,ens1,199809,0.07539,0.96703,-1.21514,0.53692,2.04179,1.71424,-1.86153,1.58390,-0.42978,-0.26909
1999-jun15,ens1,199907,0.74613,0.74241,0.90412,-1.30327,-1.29693,-0.46921,2.11106,-0.52033,-0.10284,0.82914
1999-jun20,ens1,199907,0.67261,0.08340,-0.13583,-0.27129,-0.74824,0.05961,0.12877,0.18504,0.63701,0.21185
1999-jun25,ens1,199907,0.60365,0.97089,0.18087,0.33419,-0.25945,-0.74460,-0.19881,0.75632,-0.39225,-0.04661
1999-jun30,ens1,199907,-0.52609,0.76609,-0.70142,0.25154,-0.69730,-1.36144,1.54079,1.28740,0.78630,-0.46470
1999-jul15,ens1,199908,0.70716,0.73932,0.66842,-0.92948,0.17556,-0.45932,-1.52699,-0.01447,-0.42724,0.46967
1999-jul20,ens1,199908,0.09247,0.14628,0.72491,-0.32570,-0.78774,0.95009,1.18320,0.32376,-0.61553,0.48618
1999-jul25,ens1,199908,0.02873,1.59396,-0.15274,0.40718,-0.49853,0.27406,0.72222,1.01965,-0.86074,0.97026
1999-jul30,ens1,199908,-0.05230,0.96763,0.32194,-0.05918,-0.05686,-0.95913,0.48454,1.12958,-0.00555,1.26323
1999-aug14,ens1,199909,0.47505,0.93365,0.29195,-0.16707,0.35788,-0.15697,0.41184,-0.65667,-0.04168,-0.09155
1999-aug19,ens1,199909,2.30719,0.83105,-0.13298,-0.51181,2.10307,0.78052,-2.38150,2.49243,0.33037,-0.39826
1999-aug24,ens1,199909,1.24964,0.63267,1.14027,-0.80248,0.09731,0.62415,-0.14150,0.68335,-1.19098,-1.71299
